hr,casual,registered,cnt
17,54220,282640,336860
18,44496,265276,309772
8,15761,245240,261001
16,53834,173914,227748
19,35505,191284,226789
13,52713,132206,184919
12,49718,134696,184414
15,54606,128543,183149
14,55089,120563,175652
20,26378,138172,164550
9,22458,136980,159438
7,8037,146134,154171
11,43286,108034,151320
10,33789,92468,126257
21,20570,104875,125445
22,16200,79412,95612
23,11065,52876,63941
6,3017,52115,55132
0,7375,31755,39130
1,4709,19455,24164
2,3412,12940,16352
5,1012,13249,14261
3,1893,6281,8174
4,874,3554,4428
